[DEBUGE]|[2024:4:3:5:45] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:3:5:45] METHOD=GET,URI=/,VERSION=HTTP/1.0
[DEBUGE]|[2024:4:3:5:45] NOT USE CGI------------------------
[DEBUGE]|[2024:4:3:5:45] RESPONSE CODE = 200
[DEBUGE]|[2024:4:3:6:4] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:3:6:4] METHOD=GET,URI=/manager/text/list,VERSION=HTTP/1.1
[ERROR]|[2024:4:3:6:4] REQUEST RESOURCE NOT EXIST
[DEBUGE]|[2024:4:3:6:4] RESPONSE CODE = 404
[DEBUGE]|[2024:4:3:6:32] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:3:6:32] METHOD=GET,URI=/config,VERSION=HTTP/1.1
[ERROR]|[2024:4:3:6:32] REQUEST RESOURCE NOT EXIST
[DEBUGE]|[2024:4:3:6:32] RESPONSE CODE = 404
[DEBUGE]|[2024:4:3:7:20] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:3:7:20] METHOD=GET,URI=http://passport.baidu.com/,VERSION=HTTP/1.1
[ERROR]|[2024:4:3:7:20] REQUEST RESOURCE NOT EXIST
[DEBUGE]|[2024:4:3:7:20] RESPONSE CODE = 404
[DEBUGE]|[2024:4:3:7:20] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:3:7:20] GET A NEW LINK SOCK = 5
[WARING]|[2024:4:3:7:20] RECV ERROR ,STOP BUILD AND SEND
[WARING]|[2024:4:3:7:20] RECV ERROR ,STOP BUILD AND SEND
[DEBUGE]|[2024:4:3:7:49] GET A NEW LINK SOCK = 6
[WARING]|[2024:4:3:7:50] RECV ERROR ,STOP BUILD AND SEND
[DEBUGE]|[2024:4:3:7:52] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:3:7:52] METHOD=GET,URI=/robots.txt,VERSION=HTTP/1.1
[ERROR]|[2024:4:3:7:52] REQUEST RESOURCE NOT EXIST
[DEBUGE]|[2024:4:3:7:52] RESPONSE CODE = 404
[DEBUGE]|[2024:4:3:7:52] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:3:7:52] METHOD=GET,URI=/,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:3:7:52] NOT USE CGI------------------------
[DEBUGE]|[2024:4:3:7:52] RESPONSE CODE = 200
[DEBUGE]|[2024:4:3:8:14] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:3:8:14] METHOD=GET,URI=/,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:3:8:14] NOT USE CGI------------------------
[DEBUGE]|[2024:4:3:8:14] RESPONSE CODE = 200
[DEBUGE]|[2024:4:3:8:14] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:3:8:14] METHOD=GET,URI=/favicon.ico,VERSION=HTTP/1.1
[ERROR]|[2024:4:3:8:14] REQUEST RESOURCE NOT EXIST
[DEBUGE]|[2024:4:3:8:14] RESPONSE CODE = 404
[DEBUGE]|[2024:4:3:8:16] GET A NEW LINK SOCK = 4
[WARING]|[2024:4:3:8:16] RECV ERROR ,STOP BUILD AND SEND
[DEBUGE]|[2024:4:3:8:58] GET A NEW LINK SOCK = 5
[WARING]|[2024:4:3:9:1] RECV ERROR ,STOP BUILD AND SEND
[DEBUGE]|[2024:4:3:9:25] GET A NEW LINK SOCK = 4
[WARING]|[2024:4:3:9:27] RECV ERROR ,STOP BUILD AND SEND
[DEBUGE]|[2024:4:3:9:31] GET A NEW LINK SOCK = 5
[WARING]|[2024:4:3:9:34] RECV ERROR ,STOP BUILD AND SEND
[DEBUGE]|[2024:4:3:10:19] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:3:10:19] METHOD=GET,URI=/,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:3:10:19] NOT USE CGI------------------------
[DEBUGE]|[2024:4:3:10:19] RESPONSE CODE = 200
[DEBUGE]|[2024:4:3:10:31] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:3:10:31] GET A NEW LINK SOCK = 4
[WARING]|[2024:4:3:10:32] RECV ERROR ,STOP BUILD AND SEND
[WARING]|[2024:4:3:10:32] RECV ERROR ,STOP BUILD AND SEND
[DEBUGE]|[2024:4:3:11:38] GET A NEW LINK SOCK = 6
[DEBUGE]|[2024:4:3:11:38] METHOD=CONNECT,URI=45.61.137.126:7227,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:3:11:38] NOT ALLOW REQUEST
[DEBUGE]|[2024:4:3:11:38] RESPONSE CODE = 400
[DEBUGE]|[2024:4:3:11:40] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:3:11:40] METHOD=CONNECT,URI=google.com:443,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:3:11:40] NOT ALLOW REQUEST
[DEBUGE]|[2024:4:3:11:40] RESPONSE CODE = 400
[DEBUGE]|[2024:4:3:11:43] GET A NEW LINK SOCK = 5
[WARING]|[2024:4:3:11:43] RECV ERROR ,STOP BUILD AND SEND
[DEBUGE]|[2024:4:3:11:43] GET A NEW LINK SOCK = 4
[WARING]|[2024:4:3:11:43] RECV ERROR ,STOP BUILD AND SEND
[DEBUGE]|[2024:4:3:11:43] GET A NEW LINK SOCK = 5
[WARING]|[2024:4:3:11:43] RECV ERROR ,STOP BUILD AND SEND
[DEBUGE]|[2024:4:3:11:43] GET A NEW LINK SOCK = 4
[WARING]|[2024:4:3:11:43] RECV ERROR ,STOP BUILD AND SEND
[DEBUGE]|[2024:4:3:11:43] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:3:11:43] METHOD=GET,URI=/,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:3:11:43] NOT USE CGI------------------------
[DEBUGE]|[2024:4:3:11:43] RESPONSE CODE = 200
[DEBUGE]|[2024:4:3:11:43] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:3:11:43] METHOD=GET,URI=/favicon.ico,VERSION=HTTP/1.1
[ERROR]|[2024:4:3:11:43] REQUEST RESOURCE NOT EXIST
[DEBUGE]|[2024:4:3:11:43] RESPONSE CODE = 404
[DEBUGE]|[2024:4:3:11:43] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:3:11:43] METHOD=POST,URI=/onvif/device_service,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:3:11:43] REQUEST BODY = <?xml version='1.0'
          encoding='utf-8'?>
        <s:Envelope xmlns:s="http://www.w3.org/2003/05/soap-envelope">
            <s:Header>
                <Security s:mustUnderstand="1" xmlns="http://docs.oasis-open.org/wss/2004/01/oasis-200401-wss-wssecurity-secext-1.0.xsd">
                    <UsernameToken>
                        <Username>admin</Username>
                        <Password Type="http://docs.oasis-open.org/wss/2004/01/oasis-200401-wss-username-token-profile-1.0#PasswordDigest">admin</Password>
                        <Nonce EncodingType="http://docs.oasis-open.org/wss/2004/01/oasis-200401-wss-soap-message-security-1.0#Base64Binary"></Nonce>
                        <Created xmlns="http://docs.oasis-open.org/wss/2004/01/oasis-200401-wss-wssecurity-utility-1.0.xsd"></Created>
                    </UsernameToken>
                </Security>
            </s:Header>
            <s:Body xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xmlns:xsd="http://www.w3.org/2001/XM
[ERROR]|[2024:4:3:11:43] REQUEST RESOURCE NOT EXIST
[DEBUGE]|[2024:4:3:11:43] RESPONSE CODE = 404
[DEBUGE]|[2024:4:3:11:50] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:3:11:50] METHOD=GET,URI=/,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:3:11:50] NOT USE CGI------------------------
[DEBUGE]|[2024:4:3:11:50] RESPONSE CODE = 200
[DEBUGE]|[2024:4:3:11:50] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:3:11:50] METHOD=GET,URI=/favicon.ico,VERSION=HTTP/1.1
[ERROR]|[2024:4:3:11:50] REQUEST RESOURCE NOT EXIST
[DEBUGE]|[2024:4:3:11:50] RESPONSE CODE = 404
[DEBUGE]|[2024:4:3:13:17] GET A NEW LINK SOCK = 4
